(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT-py3.9/AMAT/examples/mdpi-aerospace/smallsat-mission-concepts$ python section-4-7-venus-smallsat-performance-analysis-prd-1.py
RUN #: 42, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 124, EFPA: -5.22, SIGMA: -1.07, APO : 1981.88
RUN #: 43, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 64, EFPA: -5.22, SIGMA: -1.22, APO : 2202.96
RUN #: 44, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 101, EFPA: -5.24, SIGMA: 1.72, APO : 1420.47
RUN #: 45, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 4, EFPA: -5.19, SIGMA: 0.57, APO : 2150.96
RUN #: 46, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 191, EFPA: -5.18, SIGMA: 0.13, APO : 2058.66
RUN #: 47, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 4, EFPA: -5.23, SIGMA: -0.69, APO : 2176.51
RUN #: 48, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 181, EFPA: -5.20, SIGMA: -0.98, APO : 2065.09
RUN #: 49, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 58, EFPA: -5.16, SIGMA: -0.33, APO : 1947.88
RUN #: 50, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 77, EFPA: -5.21, SIGMA: 0.88, APO : 1883.33
RUN #: 51, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 80, EFPA: -5.23, SIGMA: -1.08, APO : 2202.36
RUN #: 52, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 70, EFPA: -5.13, SIGMA: -0.84, APO : 2019.82
RUN #: 53, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 125, EFPA: -5.27, SIGMA: -0.98, APO : 2207.81
RUN #: 54, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 46, EFPA: -5.24, SIGMA: 0.51, APO : 2240.69
RUN #: 55, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 20, EFPA: -5.15, SIGMA: 0.10, APO : 1975.07
RUN #: 56, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 144, EFPA: -5.16, SIGMA: -0.44, APO : 1974.87
RUN #: 57, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 152, EFPA: -5.21, SIGMA: -0.44, APO : 2077.27
RUN #: 58, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 30, EFPA: -5.26, SIGMA: -1.52, APO : 2096.93
RUN #: 59, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 189, EFPA: -5.22, SIGMA: 0.15, APO : 2029.65
RUN #: 60, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 50, EFPA: -5.22, SIGMA: -0.17, APO : 2053.97
RUN #: 61, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 120, EFPA: -5.20, SIGMA: -0.48, APO : 2005.92
RUN #: 62, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 136, EFPA: -5.22, SIGMA: -0.69, APO : 1911.95
RUN #: 63, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 185, EFPA: -5.15, SIGMA: -0.14, APO : 1970.64
RUN #: 64, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 125, EFPA: -5.15, SIGMA: -0.60, APO : 1978.85
RUN #: 65, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 193, EFPA: -5.20, SIGMA: -0.11, APO : 1961.11
RUN #: 66, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 23, EFPA: -5.21, SIGMA: -1.77, APO : 1845.50
RUN #: 67, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 160, EFPA: -5.19, SIGMA: -0.18, APO : 2243.20
RUN #: 68, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 196, EFPA: -5.22, SIGMA: 0.50, APO : 2024.40
RUN #: 69, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 190, EFPA: -5.23, SIGMA: 0.89, APO : 1879.05
RUN #: 70, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 67, EFPA: -5.20, SIGMA: 0.77, APO : 1720.06
RUN #: 71, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 66, EFPA: -5.18, SIGMA: 2.75, APO : 1925.90
RUN #: 72, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 176, EFPA: -5.17, SIGMA: -0.80, APO : 2015.86
RUN #: 73, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 89, EFPA: -5.21, SIGMA: -0.55, APO : 1982.73
RUN #: 74, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 110, EFPA: -5.19, SIGMA: -0.12, APO : 2103.71
RUN #: 75, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 145, EFPA: -5.17, SIGMA: -1.28, APO : 2055.65
RUN #: 76, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 181, EFPA: -5.19, SIGMA: 2.17, APO : 1938.78
RUN #: 77, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 189, EFPA: -5.28, SIGMA: 0.93, APO : 2745.64
RUN #: 78, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 148, EFPA: -5.24, SIGMA: 0.74, APO : 1974.30
RUN #: 79, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 151, EFPA: -5.22, SIGMA: -2.07, APO : 2096.70
RUN #: 80, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 8, EFPA: -5.24, SIGMA: 1.09, APO : 1398.79
RUN #: 81, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 49, EFPA: -5.22, SIGMA: 0.07, APO : 1866.37
RUN #: 82, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 135, EFPA: -5.13, SIGMA: 1.03, APO : 1963.68
RUN #: 83, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 129, EFPA: -5.18, SIGMA: -0.94, APO : 2068.90
RUN #: 84, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 52, EFPA: -5.23, SIGMA: -1.76, APO : 2384.44
RUN #: 85, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 41, EFPA: -5.24, SIGMA: -0.42, APO : 1874.30
RUN #: 86, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 22, EFPA: -5.12, SIGMA: -1.25, APO : 3136.26
RUN #: 87, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 135, EFPA: -5.23, SIGMA: 2.43, APO : 3001.76
RUN #: 88, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 197, EFPA: -5.15, SIGMA: 1.26, APO : 1917.11
RUN #: 89, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 144, EFPA: -5.26, SIGMA: 0.62, APO : 1836.62
RUN #: 90, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 89, EFPA: -5.23, SIGMA: -0.28, APO : 2124.82
RUN #: 91, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 26, EFPA: -5.13, SIGMA: 0.52, APO : 1939.87
RUN #: 92, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 126, EFPA: -5.24, SIGMA: 0.87, APO : 2184.38
RUN #: 93, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 64, EFPA: -5.17, SIGMA: 0.95, APO : 2131.52
RUN #: 94, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 157, EFPA: -5.18, SIGMA: -0.05, APO : 1893.59
RUN #: 95, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 41, EFPA: -5.18, SIGMA: 0.25, APO : 2127.98
RUN #: 96, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 28, EFPA: -5.14, SIGMA: 0.96, APO : 1996.82
RUN #: 97, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 29, EFPA: -5.21, SIGMA: 0.28, APO : 2396.06
RUN #: 98, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 51, EFPA: -5.18, SIGMA: -1.11, APO : 2017.48
RUN #: 99, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 120, EFPA: -5.17, SIGMA: 0.48, APO : 2128.50
RUN #: 100, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 1, EFPA: -5.18, SIGMA: 0.15, APO : 1947.99
RUN #: 101, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 176, EFPA: -5.23, SIGMA: 0.26, APO : 2415.49
RUN #: 102, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 185, EFPA: -5.23, SIGMA: -1.84, APO : 2081.90
RUN #: 103, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 132, EFPA: -5.21, SIGMA: 0.18, APO : 2353.34
RUN #: 104, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 13, EFPA: -5.21, SIGMA: 1.19, APO : 2541.89
RUN #: 105, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 67, EFPA: -5.22, SIGMA: 0.94, APO : 2068.87
RUN #: 106, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 151, EFPA: -5.15, SIGMA: -1.15, APO : 1964.39
RUN #: 107, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 189, EFPA: -5.17, SIGMA: 1.72, APO : 2167.75
RUN #: 108, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 177, EFPA: -5.17, SIGMA: -0.81, APO : 2085.60
RUN #: 109, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 45, EFPA: -5.21, SIGMA: 0.51, APO : 2323.44
RUN #: 110, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 102, EFPA: -5.20, SIGMA: 0.40, APO : 1902.13
RUN #: 111, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 106, EFPA: -5.19, SIGMA: 0.23, APO : 1875.57
RUN #: 112, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 151, EFPA: -5.26, SIGMA: 0.83, APO : 2420.85
RUN #: 113, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 46, EFPA: -5.19, SIGMA: 0.64, APO : 2011.89
RUN #: 114, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 144, EFPA: -5.20, SIGMA: -0.91, APO : 2032.53
RUN #: 115, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 37, EFPA: -5.25, SIGMA: -0.97, APO : 1938.49
RUN #: 116, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 191, EFPA: -5.21, SIGMA: -0.75, APO : 2082.20
RUN #: 117, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 87, EFPA: -5.23, SIGMA: 1.16, APO : 2304.33
RUN #: 118, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 179, EFPA: -5.19, SIGMA: 0.59, APO : 1954.16
RUN #: 119, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 190, EFPA: -5.21, SIGMA: 0.54, APO : 2131.23
RUN #: 120, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 136, EFPA: -5.23, SIGMA: 0.65, APO : 2170.15
RUN #: 121, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 140, EFPA: -5.18, SIGMA: 0.67, APO : 2033.27
RUN #: 122, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 121, EFPA: -5.19, SIGMA: -0.07, APO : 1952.47
RUN #: 123, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 97, EFPA: -5.20, SIGMA: 1.11, APO : 2170.99
RUN #: 124, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 59, EFPA: -5.24, SIGMA: -0.31, APO : 2014.95
RUN #: 125, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 36, EFPA: -5.18, SIGMA: 0.18, APO : 2191.77
RUN #: 126, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 63, EFPA: -5.28, SIGMA: 1.56, APO : 1952.30
RUN #: 127, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 80, EFPA: -5.20, SIGMA: 1.09, APO : 2183.74
RUN #: 128, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 140, EFPA: -5.22, SIGMA: 1.27, APO : 2509.21
RUN #: 129, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 13, EFPA: -5.28, SIGMA: -0.25, APO : 2261.93
RUN #: 130, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 187, EFPA: -5.24, SIGMA: 0.40, APO : 2709.62
RUN #: 131, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 163, EFPA: -5.17, SIGMA: 0.15, APO : 1966.64
RUN #: 132, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 47, EFPA: -5.18, SIGMA: 0.89, APO : 2431.25
RUN #: 133, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 129, EFPA: -5.21, SIGMA: -0.68, APO : 1899.54
RUN #: 134, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 9, EFPA: -5.20, SIGMA: 1.07, APO : 1932.95
RUN #: 135, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 92, EFPA: -5.24, SIGMA: 0.05, APO : 1813.49
RUN #: 136, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 95, EFPA: -5.20, SIGMA: 0.32, APO : 2145.96
