#Z(m)	Temp(K)	Pres (Nm2)	rho(kgm3)	a (m/s)
0		735.30	9.209E+06	6.479E+01	428.03
126000	145.00	1.116E-03	3.728E-08	196.44
127000	145.30	8.274E-04	2.730E-08	197.65
128000	145.60	6.133E-04	2.000E-08	198.81
129000	146.00	4.546E-04	1.465E-08	200.00
130000	146.30	3.370E-04	1.073E-08	201.21
131000	146.70	2.553E-04	7.953E-09	203.42
132000	147.10	1.935E-04	5.895E-09	205.70
133000	147.50	1.466E-04	4.372E-09	207.90
134000	147.90	1.111E-04	3.243E-09	210.14
135000	148.30	8.417E-05	2.407E-09	212.31
136000	148.80	6.622E-05	1.825E-09	216.27
137000	149.30	5.211E-05	1.386E-09	220.14
138000	149.70	4.100E-05	1.053E-09	224.03
139000	150.20	3.226E-05	8.013E-10	227.80
140000	150.70	2.538E-05	6.102E-10	231.55
141000	151.20	2.092E-05	4.807E-10	236.85
142000	151.70	1.724E-05	3.793E-10	242.05
143000	152.20	1.421E-05	2.998E-10	247.18
144000	152.70	1.171E-05	2.373E-10	252.21
145000	153.30	9.651E-06	1.881E-10	257.17
146000	151.90	7.927E-06	1.479E-10	262.84
147000	150.50	6.510E-06	1.166E-10	268.27
148000	149.20	5.347E-06	9.212E-11	273.53
149000	147.80	4.392E-06	7.297E-11	278.54
150000	146.40	3.607E-06	5.791E-11	283.35
151000	144.70	3.079E-06	4.750E-11	289.06
152000	142.90	2.628E-06	3.906E-11	294.49
153000	141.20	2.243E-06	3.220E-11	299.65
154000	139.50	1.915E-06	2.661E-11	304.57
155000	137.70	1.634E-06	2.203E-11	309.20
156000	137.80	1.469E-06	1.919E-11	314.12
157000	137.90	1.320E-06	1.673E-11	318.91
158000	138.00	1.186E-06	1.460E-11	323.59
159000	138.20	1.066E-06	1.275E-11	328.28
160000	138.30	9.578E-07	1.114E-11	332.91
161000	138.30	8.753E-07	9.838E-12	338.65
162000	138.40	7.998E-07	8.695E-12	344.34
163000	138.40	7.308E-07	7.693E-12	349.93
164000	138.50	6.678E-07	6.813E-12	355.45
165000	138.50	6.103E-07	6.039E-12	360.92
166000	138.60	5.654E-07	5.375E-12	368.23
167000	138.60	5.239E-07	4.790E-12	375.48
168000	138.70	4.854E-07	4.276E-12	382.52
169000	138.70	4.498E-07	3.822E-12	389.49
170000	138.80	4.167E-07	3.420E-12	396.30
171000	138.80	3.916E-07	3.068E-12	405.62
172000	138.90	3.679E-07	2.758E-12	414.66
173000	138.90	3.457E-07	2.484E-12	423.55
174000	138.90	3.249E-07	2.241E-12	432.30
175000	139.00	3.052E-07	2.024E-12	440.87
176000	139.00	2.906E-07	1.834E-12	451.93
177000	139.00	2.767E-07	1.666E-12	462.69
178000	139.00	2.635E-07	1.516E-12	473.33
179000	139.10	2.509E-07	1.382E-12	483.75
180000	139.10	2.389E-07	1.263E-12	493.78
181000	139.10	2.294E-07	1.155E-12	505.98
182000	139.10	2.203E-07	1.058E-12	518.07
183000	139.10	2.116E-07	9.717E-13	529.81
184000	139.10	2.032E-07	8.940E-13	541.28
185000	139.20	1.951E-07	8.240E-13	552.45
186000	139.20	1.890E-07	7.629E-13	565.10
187000	139.20	1.831E-07	7.077E-13	577.49
188000	139.20	1.774E-07	6.577E-13	589.64
189000	139.20	1.719E-07	6.123E-13	601.56
190000	139.20	1.665E-07	5.708E-13	613.19
191000	139.20	1.622E-07	5.348E-13	625.25
192000	139.20	1.580E-07	5.018E-13	637.07
193000	139.20	1.540E-07	4.715E-13	648.85
194000	139.20	1.500E-07	4.435E-13	660.28
195000	139.30	1.461E-07	4.177E-13	671.46
196000	139.30	1.429E-07	3.960E-13	682.02
197000	139.30	1.398E-07	3.758E-13	692.47
198000	139.30	1.368E-07	3.569E-13	702.90
199000	139.30	1.339E-07	3.392E-13	713.33
200000	139.30	1.310E-07	3.227E-13	723.37
201000	139.30	1.284E-07	3.086E-13	732.34
202000	139.30	1.259E-07	2.952E-13	741.45
203000	139.30	1.234E-07	2.826E-13	750.24
204000	139.30	1.210E-07	2.707E-13	759.06
205000	139.30	1.187E-07	2.594E-13	768.01
206000	139.30	1.167E-07	2.501E-13	775.54
207000	139.30	1.147E-07	2.413E-13	782.76
208000	139.30	1.128E-07	2.328E-13	790.30
209000	139.30	1.109E-07	2.248E-13	797.43
210000	139.30	1.091E-07	2.170E-13	805.02
211000	139.30	1.073E-07	2.102E-13	811.17
212000	139.30	1.056E-07	2.036E-13	817.65
213000	139.30	1.039E-07	1.972E-13	824.10
214000	139.30	1.022E-07	1.911E-13	830.27
215000	139.30	1.005E-07	1.852E-13	836.35
216000	139.30	9.904E-08	1.802E-13	841.69
217000	139.30	9.758E-08	1.754E-13	846.82
218000	139.30	9.615E-08	1.707E-13	852.09
219000	139.30	9.473E-08	1.662E-13	857.15
220000	139.30	9.334E-08	1.618E-13	862.33
221000	139.30	9.204E-08	1.578E-13	867.08
222000	139.30	9.076E-08	1.540E-13	871.59
223000	139.30	8.949E-08	1.502E-13	876.35
224000	139.30	8.825E-08	1.466E-13	880.88
225000	139.30	8.702E-08	1.431E-13	885.35
226000	139.30	8.590E-08	1.399E-13	889.64
227000	139.30	8.479E-08	1.368E-13	893.83
228000	139.30	8.369E-08	1.338E-13	897.91
229000	139.30	8.261E-08	1.309E-13	901.93
230000	139.30	8.154E-08	1.281E-13	905.81
231000	139.30	8.056E-08	1.255E-13	909.63
232000	139.30	7.959E-08	1.230E-13	913.28
233000	139.30	7.864E-08	1.206E-13	916.80
234000	139.30	7.769E-08	1.182E-13	920.45
235000	139.30	7.676E-08	1.158E-13	924.36
236000	139.30	7.580E-08	1.135E-13	927.82
237000	139.30	7.485E-08	1.112E-13	931.47
238000	139.30	7.391E-08	1.090E-13	934.90
239000	139.30	7.298E-08	1.068E-13	938.52
240000	139.30	7.206E-08	1.047E-13	941.89
241000	139.30	7.122E-08	1.027E-13	945.46
242000	139.30	7.039E-08	1.008E-13	948.75
243000	139.30	6.956E-08	9.893E-14	952.01
244000	139.30	6.875E-08	9.710E-14	955.33
245000	139.30	6.794E-08	9.531E-14	958.56
246000	139.30	6.717E-08	9.359E-14	961.83
247000	139.30	6.641E-08	9.191E-14	965.08
248000	139.30	6.565E-08	9.027E-14	968.22
249000	139.30	6.490E-08	8.866E-14	971.37
250000	139.30	6.417E-08	8.708E-14	974.62
