In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 43, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 160, EFPA: -5.19, SIGMA: 0.06, APO : 1966.42
RUN #: 44, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 156, EFPA: -5.18, SIGMA: -0.92, APO : 1778.30
RUN #: 45, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 79, EFPA: -5.17, SIGMA: 1.24, APO : 1848.02
RUN #: 46, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 167, EFPA: -5.22, SIGMA: 0.96, APO : 2664.92
RUN #: 47, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 83, EFPA: -5.21, SIGMA: -0.74, APO : 2470.21
RUN #: 48, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 28, EFPA: -5.16, SIGMA: 0.52, APO : 1766.57
RUN #: 49, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 94, EFPA: -5.19, SIGMA: -2.55, APO : 1860.75
RUN #: 50, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 7, EFPA: -5.19, SIGMA: 1.37, APO : 1921.78
RUN #: 51, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 64, EFPA: -5.16, SIGMA: 1.08, APO : 1973.14
RUN #: 52, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 52, EFPA: -5.22, SIGMA: 0.37, APO : 2588.85
RUN #: 53, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 75, EFPA: -5.22, SIGMA: -0.79, APO : 1820.19
RUN #: 54, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 163, EFPA: -5.21, SIGMA: 1.11, APO : 1810.65
RUN #: 55, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 16, EFPA: -5.23, SIGMA: -0.07, APO : 1767.16
