#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.278E+00  5.437E+00  5.600E+00  5.574E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.395E+00  3.565E+00  3.743E+00  3.722E+00  2585.50  2575.50 1.343     0     .000
   20.000      2.018E+00  2.159E+00  2.310E+00  2.232E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.132E+00  1.234E+00  1.345E+00  1.258E+00  2605.50  2575.50 1.322     0     .000
   40.000      6.069E-01  6.737E-01  7.478E-01  7.941E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.167E-01  3.578E-01  4.044E-01  4.351E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.589E-01  1.827E-01  2.101E-01  2.174E-01  2635.50  2575.50 1.293     0     .000
   70.000      7.230E-02  8.274E-02  9.470E-02  9.211E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.210E-02  4.795E-02  5.461E-02  5.114E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.798E-02  3.171E-02  3.594E-02  3.654E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.970E-02  2.222E-02  2.506E-02  2.617E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.431E-02  1.606E-02  1.803E-02  1.677E-02  2685.50  2575.50 1.245     0     .000
   120.00      1.063E-02  1.187E-02  1.325E-02  1.172E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.887E-03  8.763E-03  9.737E-03  8.965E-03  2705.50  2575.50 1.227     0     .000
   140.00      6.028E-03  6.664E-03  7.367E-03  7.167E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.606E-03  5.067E-03  5.574E-03  5.262E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.556E-03  3.912E-03  4.303E-03  4.136E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.759E-03  3.035E-03  3.338E-03  3.157E-03  2745.50  2575.50 1.191     0     .000
   180.00      2.151E-03  2.366E-03  2.603E-03  2.305E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.685E-03  1.854E-03  2.039E-03  1.914E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.326E-03  1.459E-03  1.605E-03  1.534E-03  2775.50  2575.50 1.165     0     .000
   210.00      1.048E-03  1.153E-03  1.268E-03  1.009E-03  2785.50  2575.50 1.157     0     .000
   220.00      8.319E-04  9.151E-04  1.007E-03  8.179E-04  2795.50  2575.50 1.149     0     .000
   230.00      6.629E-04  7.292E-04  8.021E-04  6.935E-04  2805.50  2575.50 1.141     0     .000
   240.00      5.303E-04  5.833E-04  6.416E-04  5.904E-04  2815.50  2575.50 1.133     0     .000
   250.00      4.257E-04  4.683E-04  5.151E-04  4.849E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.429E-04  3.772E-04  4.149E-04  4.037E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.771E-04  3.048E-04  3.353E-04  3.262E-04  2845.50  2575.50 1.109     0     .000
   280.00      2.246E-04  2.471E-04  2.718E-04  2.589E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.826E-04  2.008E-04  2.209E-04  2.185E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.488E-04  1.637E-04  1.800E-04  1.797E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.216E-04  1.337E-04  1.471E-04  1.482E-04  2885.50  2575.50 1.078     0     .000
   320.00      9.952E-05  1.095E-04  1.204E-04  1.157E-04  2895.50  2575.50 1.071     0     .000
   330.00      8.166E-05  8.982E-05  9.881E-05  8.979E-05  2905.50  2575.50 1.063     0     .000
   340.00      6.712E-05  7.383E-05  8.122E-05  7.354E-05  2915.50  2575.50 1.056     0     .000
   350.00      5.527E-05  6.079E-05  6.687E-05  6.174E-05  2925.50  2575.50 1.049     0     .000
   360.00      4.557E-05  5.013E-05  5.514E-05  5.376E-05  2935.50  2575.50 1.042     0     .000
   370.00      3.762E-05  4.138E-05  4.552E-05  4.407E-05  2945.50  2575.50 1.035     0     .000
   380.00      3.108E-05  3.418E-05  3.760E-05  3.587E-05  2955.50  2575.50 1.028     0     .000
   390.00      2.568E-05  2.825E-05  3.108E-05  3.039E-05  2965.50  2575.50 1.021     0     .000
   400.00      2.123E-05  2.335E-05  2.569E-05  2.527E-05  2975.50  2575.50 1.014     0     .000
   410.00      1.754E-05  1.929E-05  2.122E-05  2.049E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.448E-05  1.593E-05  1.753E-05  1.610E-05  2995.50  2575.50 1.001     0     .000
   430.00      1.195E-05  1.315E-05  1.446E-05  1.262E-05  3005.50  2575.50  .994     0     .000
   440.00      9.849E-06  1.083E-05  1.192E-05  1.060E-05  3015.50  2575.50  .987     0     .000
   450.00      8.104E-06  8.915E-06  9.806E-06  8.676E-06  3025.50  2575.50  .981     0     .000
   460.00      6.658E-06  7.323E-06  8.056E-06  6.994E-06  3035.50  2575.50  .974     0     .000
   470.00      5.458E-06  6.004E-06  6.604E-06  5.695E-06  3045.50  2575.50  .968     0     .000
   480.00      4.464E-06  4.911E-06  5.402E-06  4.699E-06  3055.50  2575.50  .962     0     .000
   490.00      3.643E-06  4.007E-06  4.408E-06  3.840E-06  3065.50  2575.50  .955     0     .000
   500.00      2.964E-06  3.261E-06  3.587E-06  3.053E-06  3075.50  2575.50  .949     0     .000
   510.00      2.405E-06  2.646E-06  2.910E-06  2.368E-06  3085.50  2575.50  .943     0     .000
   520.00      1.946E-06  2.140E-06  2.354E-06  1.838E-06  3095.50  2575.50  .937     0     .000
   530.00      1.570E-06  1.726E-06  1.899E-06  1.461E-06  3105.50  2575.50  .931     0     .000
   540.00      1.262E-06  1.388E-06  1.527E-06  1.299E-06  3115.50  2575.50  .925     0     .000
   550.00      1.012E-06  1.113E-06  1.225E-06  1.037E-06  3125.50  2575.50  .919     0     .000
   560.00      8.098E-07  8.908E-07  9.799E-07  8.178E-07  3135.50  2575.50  .913     0     .000
   570.00      6.465E-07  7.112E-07  7.823E-07  6.930E-07  3145.50  2575.50  .907     0     .000
   580.00      5.159E-07  5.675E-07  6.242E-07  5.649E-07  3155.50  2575.50  .902     0     .000
   590.00      4.117E-07  4.529E-07  4.982E-07  4.018E-07  3165.50  2575.50  .896     0     .000
   600.00      3.289E-07  3.617E-07  3.979E-07  3.228E-07  3175.50  2575.50  .890     0     .000
   610.00      2.630E-07  2.893E-07  3.182E-07  2.663E-07  3185.50  2575.50  .885     0     .000
   620.00      2.108E-07  2.318E-07  2.550E-07  2.075E-07  3195.50  2575.50  .879     0     .000
   630.00      1.692E-07  1.862E-07  2.048E-07  1.750E-07  3205.50  2575.50  .874     0     .000
   640.00      1.363E-07  1.499E-07  1.649E-07  1.367E-07  3215.50  2575.50  .868     0     .000
   650.00      1.100E-07  1.210E-07  1.331E-07  1.085E-07  3225.50  2575.50  .863     0     .000
