#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.095E+00  5.248E+00  5.405E+00  5.381E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.317E+00  3.483E+00  3.657E+00  3.636E+00  2585.50  2575.50 1.343     0     .000
   20.000      1.955E+00  2.092E+00  2.238E+00  2.162E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.086E+00  1.183E+00  1.290E+00  1.207E+00  2605.50  2575.50 1.322     0     .000
   40.000      5.769E-01  6.403E-01  7.108E-01  7.547E-01  2615.50  2575.50 1.312     0     .000
   50.000      2.998E-01  3.388E-01  3.829E-01  4.120E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.484E-01  1.707E-01  1.963E-01  2.031E-01  2635.50  2575.50 1.293     0     .000
   70.000      6.591E-02  7.543E-02  8.632E-02  8.397E-02  2645.50  2575.50 1.283     0     .000
   80.000      3.780E-02  4.305E-02  4.903E-02  4.591E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.484E-02  2.815E-02  3.191E-02  3.244E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.732E-02  1.953E-02  2.203E-02  2.300E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.246E-02  1.399E-02  1.570E-02  1.460E-02  2685.50  2575.50 1.245     0     .000
   120.00      9.166E-03  1.024E-02  1.143E-02  1.011E-02  2695.50  2575.50 1.236     0     .000
   130.00      6.735E-03  7.483E-03  8.315E-03  7.656E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.100E-03  5.638E-03  6.233E-03  6.064E-03  2715.50  2575.50 1.217     0     .000
   150.00      3.859E-03  4.245E-03  4.669E-03  4.408E-03  2725.50  2575.50 1.209     0     .000
   160.00      2.954E-03  3.249E-03  3.574E-03  3.435E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.272E-03  2.499E-03  2.749E-03  2.600E-03  2745.50  2575.50 1.191     0     .000
   180.00      1.755E-03  1.931E-03  2.124E-03  1.881E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.363E-03  1.499E-03  1.649E-03  1.548E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.062E-03  1.168E-03  1.285E-03  1.228E-03  2775.50  2575.50 1.165     0     .000
   210.00      8.315E-04  9.147E-04  1.006E-03  8.009E-04  2785.50  2575.50 1.157     0     .000
   220.00      6.536E-04  7.189E-04  7.908E-04  6.426E-04  2795.50  2575.50 1.149     0     .000
