#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.348E+00  5.508E+00  5.673E+00  5.647E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.450E+00  3.623E+00  3.804E+00  3.782E+00  2585.50  2575.50 1.343     0     .000
   20.000      2.058E+00  2.202E+00  2.356E+00  2.276E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.159E+00  1.264E+00  1.377E+00  1.289E+00  2605.50  2575.50 1.322     0     .000
   40.000      6.247E-01  6.934E-01  7.697E-01  8.173E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.265E-01  3.690E-01  4.169E-01  4.487E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.647E-01  1.895E-01  2.179E-01  2.254E-01  2635.50  2575.50 1.293     0     .000
   70.000      7.566E-02  8.659E-02  9.910E-02  9.639E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.432E-02  5.047E-02  5.749E-02  5.384E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.959E-02  3.353E-02  3.800E-02  3.864E-02  2665.50  2575.50 1.264     0     .000
   100.00      2.092E-02  2.359E-02  2.661E-02  2.778E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.525E-02  1.712E-02  1.921E-02  1.787E-02  2685.50  2575.50 1.245     0     .000
   120.00      1.137E-02  1.269E-02  1.417E-02  1.254E-02  2695.50  2575.50 1.236     0     .000
   130.00      8.471E-03  9.412E-03  1.046E-02  9.628E-03  2705.50  2575.50 1.227     0     .000
   140.00      6.498E-03  7.184E-03  7.942E-03  7.727E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.985E-03  5.484E-03  6.032E-03  5.695E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.863E-03  4.249E-03  4.674E-03  4.493E-03  2735.50  2575.50 1.200     0     .000
   170.00      3.008E-03  3.309E-03  3.640E-03  3.442E-03  2745.50  2575.50 1.191     0     .000
   180.00      2.354E-03  2.590E-03  2.849E-03  2.523E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.851E-03  2.036E-03  2.240E-03  2.102E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.462E-03  1.608E-03  1.769E-03  1.691E-03  2775.50  2575.50 1.165     0     .000
   210.00      1.160E-03  1.276E-03  1.404E-03  1.117E-03  2785.50  2575.50 1.157     0     .000
   220.00      9.241E-04  1.016E-03  1.118E-03  9.085E-04  2795.50  2575.50 1.149     0     .000
   230.00      7.391E-04  8.130E-04  8.943E-04  7.731E-04  2805.50  2575.50 1.141     0     .000
   240.00      5.934E-04  6.527E-04  7.180E-04  6.607E-04  2815.50  2575.50 1.133     0     .000
   250.00      4.781E-04  5.259E-04  5.785E-04  5.447E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.866E-04  4.253E-04  4.678E-04  4.551E-04  2835.50  2575.50 1.117     0     .000
   270.00      3.136E-04  3.449E-04  3.794E-04  3.691E-04  2845.50  2575.50 1.109     0     .000
   280.00      2.551E-04  2.806E-04  3.087E-04  2.940E-04  2855.50  2575.50 1.101     0     .000
   290.00      2.082E-04  2.290E-04  2.519E-04  2.491E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.703E-04  1.873E-04  2.060E-04  2.057E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.397E-04  1.536E-04  1.690E-04  1.703E-04  2885.50  2575.50 1.078     0     .000
   320.00      1.148E-04  1.263E-04  1.389E-04  1.334E-04  2895.50  2575.50 1.071     0     .000
   330.00      9.456E-05  1.040E-04  1.144E-04  1.040E-04  2905.50  2575.50 1.063     0     .000
   340.00      7.804E-05  8.584E-05  9.443E-05  8.550E-05  2915.50  2575.50 1.056     0     .000
   350.00      6.452E-05  7.097E-05  7.807E-05  7.208E-05  2925.50  2575.50 1.049     0     .000
   360.00      5.344E-05  5.878E-05  6.466E-05  6.303E-05  2935.50  2575.50 1.042     0     .000
   370.00      4.432E-05  4.876E-05  5.363E-05  5.192E-05  2945.50  2575.50 1.035     0     .000
   380.00      3.679E-05  4.047E-05  4.452E-05  4.247E-05  2955.50  2575.50 1.028     0     .000
   390.00      3.055E-05  3.361E-05  3.697E-05  3.615E-05  2965.50  2575.50 1.021     0     .000
   400.00      2.538E-05  2.791E-05  3.071E-05  3.021E-05  2975.50  2575.50 1.014     0     .000
   410.00      2.107E-05  2.318E-05  2.550E-05  2.462E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.749E-05  1.924E-05  2.116E-05  1.945E-05  2995.50  2575.50 1.001     0     .000
   430.00      1.450E-05  1.596E-05  1.755E-05  1.531E-05  3005.50  2575.50  .994     0     .000
   440.00      1.202E-05  1.322E-05  1.454E-05  1.294E-05  3015.50  2575.50  .987     0     .000
   450.00      9.942E-06  1.094E-05  1.203E-05  1.064E-05  3025.50  2575.50  .981     0     .000
   460.00      8.213E-06  9.034E-06  9.937E-06  8.628E-06  3035.50  2575.50  .974     0     .000
   470.00      6.771E-06  7.448E-06  8.193E-06  7.066E-06  3045.50  2575.50  .968     0     .000
   480.00      5.571E-06  6.128E-06  6.741E-06  5.864E-06  3055.50  2575.50  .962     0     .000
   490.00      4.573E-06  5.030E-06  5.534E-06  4.821E-06  3065.50  2575.50  .955     0     .000
