#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   600.00      1.840E-07  2.024E-07  2.227E-07  1.806E-07  3175.50  2575.50  .890     0     .000
   610.00      1.448E-07  1.593E-07  1.753E-07  1.467E-07  3185.50  2575.50  .885     0     .000
   620.00      1.143E-07  1.257E-07  1.382E-07  1.125E-07  3195.50  2575.50  .879     0     .000
   630.00      9.036E-08  9.939E-08  1.093E-07  9.343E-08  3205.50  2575.50  .874     0     .000
   640.00      7.167E-08  7.883E-08  8.672E-08  7.190E-08  3215.50  2575.50  .868     0     .000
   650.00      5.703E-08  6.273E-08  6.901E-08  5.625E-08  3225.50  2575.50  .863     0     .000
   660.00      4.554E-08  5.009E-08  5.510E-08  4.438E-08  3235.50  2575.50  .858     0     .000
   670.00      3.649E-08  4.014E-08  4.416E-08  3.440E-08  3245.50  2575.50  .852     0     .000
   680.00      2.935E-08  3.229E-08  3.552E-08  2.651E-08  3255.50  2575.50  .847     0     .000
   690.00      2.370E-08  2.607E-08  2.868E-08  2.325E-08  3265.50  2575.50  .842     0     .000
   700.00      1.921E-08  2.113E-08  2.325E-08  1.925E-08  3275.50  2575.50  .837     0     .000
   710.00      1.563E-08  1.719E-08  1.891E-08  1.692E-08  3285.50  2575.50  .832     0     .000
   720.00      1.277E-08  1.404E-08  1.545E-08  1.305E-08  3295.50  2575.50  .827     0     .000
   730.00      1.046E-08  1.151E-08  1.266E-08  1.066E-08  3305.50  2575.50  .822     0     .000
   740.00      8.608E-09  9.469E-09  1.042E-08  9.150E-09  3315.50  2575.50  .817     0     .000
   750.00      7.107E-09  7.818E-09  8.600E-09  7.334E-09  3325.50  2575.50  .812     0     .000
   760.00      5.888E-09  6.477E-09  7.125E-09  6.342E-09  3335.50  2575.50  .807     0     .000
   770.00      4.894E-09  5.383E-09  5.922E-09  5.546E-09  3345.50  2575.50  .802     0     .000
   780.00      4.081E-09  4.489E-09  4.938E-09  4.726E-09  3355.50  2575.50  .797     0     .000
   790.00      3.414E-09  3.755E-09  4.131E-09  4.102E-09  3365.50  2575.50  .793     0     .000
   800.00      2.864E-09  3.150E-09  3.466E-09  3.376E-09  3375.50  2575.50  .788     0     .000
   810.00      2.410E-09  2.651E-09  2.916E-09  2.692E-09  3385.50  2575.50  .783     0     .000
   820.00      2.033E-09  2.237E-09  2.460E-09  2.404E-09  3395.50  2575.50  .779     0     .000
   830.00      1.720E-09  1.892E-09  2.081E-09  2.042E-09  3405.50  2575.50  .774     0     .000
   840.00      1.459E-09  1.605E-09  1.765E-09  1.806E-09  3415.50  2575.50  .770     0     .000
   850.00      1.240E-09  1.364E-09  1.501E-09  1.534E-09  3425.50  2575.50  .765     0     .000
   860.00      1.057E-09  1.162E-09  1.279E-09  1.257E-09  3435.50  2575.50  .761     0     .000
   870.00      9.025E-10  9.928E-10  1.092E-09  1.052E-09  3445.50  2575.50  .756     0     .000
   880.00      7.724E-10  8.497E-10  9.346E-10  8.923E-10  3455.50  2575.50  .752     0     .000
   890.00      6.624E-10  7.286E-10  8.015E-10  7.983E-10  3465.50  2575.50  .748     0     .000
   900.00      5.691E-10  6.260E-10  6.886E-10  6.900E-10  3475.50  2575.50  .743     0     .000
   910.00      4.898E-10  5.388E-10  5.927E-10  5.988E-10  3485.50  2575.50  .739     0     .000
   920.00      4.223E-10  4.646E-10  5.110E-10  5.108E-10  3495.50  2575.50  .735     0     .000
