#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.248E+00  5.405E+00  5.567E+00  5.542E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.382E+00  3.551E+00  3.728E+00  3.707E+00  2585.50  2575.50 1.343     0     .000
   20.000      2.007E+00  2.147E+00  2.298E+00  2.220E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.124E+00  1.225E+00  1.335E+00  1.250E+00  2605.50  2575.50 1.322     0     .000
   40.000      6.018E-01  6.680E-01  7.415E-01  7.873E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.138E-01  3.546E-01  4.007E-01  4.312E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.571E-01  1.807E-01  2.078E-01  2.150E-01  2635.50  2575.50 1.293     0     .000
   70.000      7.120E-02  8.149E-02  9.326E-02  9.071E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.136E-02  4.710E-02  5.364E-02  5.024E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.744E-02  3.109E-02  3.524E-02  3.583E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.929E-02  2.175E-02  2.453E-02  2.562E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.399E-02  1.570E-02  1.762E-02  1.639E-02  2685.50  2575.50 1.245     0     .000
   120.00      1.037E-02  1.158E-02  1.293E-02  1.144E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.684E-03  8.538E-03  9.486E-03  8.734E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.864E-03  6.483E-03  7.167E-03  6.972E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.474E-03  4.921E-03  5.413E-03  5.110E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.449E-03  3.794E-03  4.173E-03  4.011E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.672E-03  2.939E-03  3.233E-03  3.057E-03  2745.50  2575.50 1.191     0     .000
   180.00      2.080E-03  2.288E-03  2.517E-03  2.229E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.627E-03  1.790E-03  1.969E-03  1.848E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.278E-03  1.406E-03  1.547E-03  1.478E-03  2775.50  2575.50 1.165     0     .000
   210.00      1.009E-03  1.110E-03  1.221E-03  9.717E-04  2785.50  2575.50 1.157     0     .000
   220.00      7.995E-04  8.794E-04  9.674E-04  7.860E-04  2795.50  2575.50 1.149     0     .000
   230.00      6.360E-04  6.997E-04  7.696E-04  6.654E-04  2805.50  2575.50 1.141     0     .000
   240.00      5.079E-04  5.587E-04  6.146E-04  5.656E-04  2815.50  2575.50 1.133     0     .000
   250.00      4.071E-04  4.478E-04  4.926E-04  4.637E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.274E-04  3.601E-04  3.961E-04  3.854E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.641E-04  2.905E-04  3.196E-04  3.109E-04  2845.50  2575.50 1.109     0     .000
   280.00      2.137E-04  2.351E-04  2.586E-04  2.463E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.734E-04  1.907E-04  2.098E-04  2.075E-04  2865.50  2575.50 1.093     0     .000
