# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 165.0 3.0190E+22 2.4095E+22 5.6518E+21 4.4410E+20 1.3019E-04  5.6983E+01  136.71 1.0000
 170.0 2.5921E+22 2.0688E+22 4.8528E+21 3.7972E+20 1.1174E-04  5.0091E+01  139.97 1.0000
 175.0 2.2806E+22 1.8204E+22 4.2700E+21 3.3265E+20 9.8283E-05  4.4593E+01  141.62 1.0000
 180.0 2.0088E+22 1.6035E+22 3.7612E+21 2.9167E+20 8.6537E-05  3.9732E+01  143.26 1.0000
 185.0 1.7698E+22 1.4128E+22 3.3140E+21 2.5575E+20 7.6213E-05  3.5404E+01  144.90 1.0000
 190.0 1.5596E+22 1.2451E+22 2.9207E+21 2.2426E+20 6.7139E-05  3.1553E+01  146.53 1.0000
 195.0 1.3748E+22 1.0977E+22 2.5748E+21 1.9665E+20 5.9160E-05  2.8124E+01  148.17 1.0000
 200.0 1.2123E+22 9.6796E+21 2.2705E+21 1.7244E+20 5.2142E-05  2.5072E+01  149.80 1.0000
 205.0 1.0692E+22 8.5380E+21 2.0027E+21 1.5122E+20 4.5969E-05  2.2355E+01  151.43 1.0000
 210.0 9.4233E+21 7.5256E+21 1.7653E+21 1.3247E+20 4.0497E-05  1.9910E+01  153.03 1.0000
 215.0 8.4143E+21 6.7204E+21 1.5764E+21 1.1754E+20 3.6143E-05  1.7869E+01  153.81 1.0000
 220.0 7.5146E+21 6.0024E+21 1.4080E+21 1.0427E+20 3.2263E-05  1.6039E+01  154.59 1.0000
 225.0 6.7124E+21 5.3621E+21 1.2578E+21 9.2492E+19 2.8804E-05  1.4399E+01  155.37 1.0000
 230.0 5.9970E+21 4.7911E+21 1.1238E+21 8.2031E+19 2.5720E-05  1.2929E+01  156.15 1.0000
 235.0 5.3588E+21 4.2817E+21 1.0044E+21 7.2740E+19 2.2971E-05  1.1610E+01  156.93 1.0000
