# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
1030.0 2.7781E+16 2.3285E+16 4.4958E+15 5.5158E-01 1.0797E-10  1.4560E-04  379.60 1.0000
1040.0 2.5603E+16 2.1674E+16 3.9285E+15 3.2662E-01 9.8796E-11  1.3580E-04  384.19 1.0000
1050.0 2.3634E+16 2.0195E+16 3.4389E+15 1.9471E-01 9.0581E-11  1.2684E-04  388.71 1.0000
1060.0 2.1850E+16 1.8834E+16 3.0155E+15 1.1683E-01 8.3206E-11  1.1861E-04  393.18 1.0000
1070.0 2.0230E+16 1.7582E+16 2.6486E+15 7.0543E-02 7.6567E-11  1.1105E-04  397.59 1.0000
1080.0 1.8757E+16 1.6427E+16 2.3301E+15 4.2852E-02 7.0578E-11  1.0409E-04  401.95 1.0000
1090.0 1.7414E+16 1.5361E+16 2.0531E+15 2.6184E-02 6.5163E-11  9.7673E-05  406.24 1.0000
1100.0 1.6188E+16 1.4377E+16 1.8117E+15 1.6090E-02 6.0257E-11  9.1744E-05  410.48 1.0000
1110.0 1.5067E+16 1.3466E+16 1.6010E+15 9.9413E-03 5.5803E-11  8.6259E-05  414.66 1.0000
1120.0 1.4039E+16 1.2623E+16 1.4168E+15 6.1749E-03 5.1751E-11  8.1177E-05  418.79 1.0000
1130.0 1.3097E+16 1.1841E+16 1.2555E+15 3.8552E-03 4.8058E-11  7.6463E-05  422.87 1.0000
1140.0 1.2230E+16 1.1116E+16 1.1140E+15 2.4189E-03 4.4686E-11  7.2083E-05  426.89 1.0000
1150.0 1.1433E+16 1.0443E+16 9.8977E+14 1.5251E-03 4.1602E-11  6.8008E-05  430.86 1.0000
1160.0 1.0697E+16 9.8170E+15 8.8044E+14 9.6600E-04 3.8777E-11  6.4214E-05  434.78 1.0000
1170.0 1.0019E+16 9.2349E+15 7.8413E+14 6.1466E-04 3.6185E-11  6.0676E-05  438.64 1.0000
1180.0 9.3920E+15 8.6928E+15 6.9917E+14 3.9283E-04 3.3802E-11  5.7374E-05  442.46 1.0000
1190.0 8.8119E+15 8.1877E+15 6.2412E+14 2.5213E-04 3.1610E-11  5.4288E-05  446.23 1.0000
1200.0 8.2744E+15 7.7167E+15 5.5774E+14 1.6250E-04 2.9588E-11  5.1402E-05  449.94 1.0000
1210.0 7.7759E+15 7.2770E+15 4.9894E+14 1.0515E-04 2.7723E-11  4.8699E-05  453.61 1.0000
1220.0 7.3131E+15 6.8663E+15 4.4681E+14 6.8310E-05 2.5999E-11  4.6166E-05  457.23 1.0000
1230.0 6.8829E+15 6.4824E+15 4.0053E+14 4.4546E-05 2.4404E-11  4.3790E-05  460.81 1.0000
1240.0 6.4827E+15 6.1233E+15 3.5939E+14 2.9157E-05 2.2926E-11  4.1560E-05  464.34 1.0000
1250.0 6.1099E+15 5.7871E+15 3.2279E+14 1.9153E-05 2.1556E-11  3.9464E-05  467.82 1.0000
1260.0 5.7624E+15 5.4722E+15 2.9018E+14 1.2626E-05 2.0283E-11  3.7493E-05  471.26 1.0000
1270.0 5.4382E+15 5.1771E+15 2.6111E+14 8.3513E-06 1.9100E-11  3.5638E-05  474.65 1.0000
1280.0 5.1353E+15 4.9002E+15 2.3515E+14 5.5424E-06 1.7999E-11  3.3890E-05  478.00 1.0000
1290.0 4.8523E+15 4.6403E+15 2.1196E+14 3.6902E-06 1.6973E-11  3.2244E-05  481.30 1.0000
1300.0 4.5875E+15 4.3963E+15 1.9121E+14 2.4648E-06 1.6016E-11  3.0691E-05  484.57 1.0000
1310.0 4.3395E+15 4.1669E+15 1.7263E+14 1.6514E-06 1.5124E-11  2.9225E-05  487.79 1.0000
1320.0 4.1073E+15 3.9513E+15 1.5599E+14 1.1097E-06 1.4290E-11  2.7841E-05  490.97 1.0000
1330.0 3.8894E+15 3.7484E+15 1.4105E+14 7.4792E-07 1.3510E-11  2.6533E-05  494.11 1.0000
1340.0 3.6851E+15 3.5574E+15 1.2765E+14 5.0552E-07 1.2780E-11  2.5297E-05  497.20 1.0000
1350.0 3.4931E+15 3.3775E+15 1.1560E+14 3.4264E-07 1.2097E-11  2.4127E-05  500.26 1.0000
1360.0 3.3128E+15 3.2080E+15 1.0476E+14 2.3287E-07 1.1457E-11  2.3019E-05  503.28 1.0000
1370.0 3.1432E+15 3.0482E+15 9.5011E+13 1.5869E-07 1.0856E-11  2.1970E-05  506.26 1.0000
1380.0 2.9837E+15 2.8975E+15 8.6225E+13 1.0842E-07 1.0292E-11  2.0976E-05  509.20 1.0000
1390.0 2.8335E+15 2.7552E+15 7.8305E+13 7.4264E-08 9.7619E-12  2.0034E-05  512.11 1.0000
1400.0 2.6920E+15 2.6209E+15 7.1158E+13 5.0995E-08 9.2638E-12  1.9140E-05  514.97 1.0000
1410.0 2.5587E+15 2.4940E+15 6.4706E+13 3.5101E-08 8.7952E-12  1.8292E-05  517.81 1.0000
1420.0 2.4329E+15 2.3740E+15 5.8875E+13 2.4219E-08 8.3542E-12  1.7487E-05  520.60 1.0000
1430.0 2.3142E+15 2.2606E+15 5.3602E+13 1.6749E-08 7.9388E-12  1.6722E-05  523.36 1.0000
1440.0 2.2022E+15 2.1533E+15 4.8831E+13 1.1609E-08 7.5472E-12  1.5995E-05  526.08 1.0000
1450.0 2.0963E+15 2.0518E+15 4.4511E+13 8.0648E-09 7.1780E-12  1.5304E-05  528.77 1.0000
1460.0 1.9963E+15 1.9557E+15 4.0596E+13 5.6147E-09 6.8296E-12  1.4647E-05  531.42 1.0000
1470.0 1.9017E+15 1.8647E+15 3.7047E+13 3.9172E-09 6.5007E-12  1.4022E-05  534.04 1.0000
1480.0 1.8122E+15 1.7784E+15 3.3826E+13 2.7387E-09 6.1899E-12  1.3427E-05  536.63 1.0000
1490.0 1.7275E+15 1.6966E+15 3.0902E+13 1.9186E-09 5.8962E-12  1.2860E-05  539.19 1.0000
1500.0 1.6473E+15 1.6191E+15 2.8245E+13 1.3468E-09 5.6185E-12  1.2321E-05  541.71 1.0000
1510.0 1.5714E+15 1.5455E+15 2.5831E+13 1.0000E-09 5.3557E-12  1.1806E-05  544.20 1.0000
1520.0 1.4994E+15 1.4757E+15 2.3634E+13 1.0000E-09 5.1070E-12  1.1316E-05  546.65 1.0000
1530.0 1.4311E+15 1.4095E+15 2.1635E+13 1.0000E-09 4.8715E-12  1.0849E-05  549.08 1.0000
1540.0 1.3664E+15 1.3465E+15 1.9815E+13 1.0000E-09 4.6483E-12  1.0403E-05  551.48 1.0000
1550.0 1.3049E+15 1.2868E+15 1.8157E+13 1.0000E-09 4.4368E-12  9.9782E-06  553.84 1.0000
1560.0 1.2466E+15 1.2300E+15 1.6645E+13 1.0000E-09 4.2362E-12  9.5725E-06  556.18 1.0000
1570.0 1.1912E+15 1.1759E+15 1.5266E+13 1.0000E-09 4.0459E-12  9.1851E-06  558.48 1.0000
1580.0 1.1386E+15 1.1246E+15 1.4007E+13 1.0000E-09 3.8652E-12  8.8152E-06  560.76 1.0000
1590.0 1.0886E+15 1.0757E+15 1.2858E+13 1.0000E-09 3.6937E-12  8.4618E-06  563.01 1.0000
1600.0 1.0411E+15 1.0292E+15 1.1809E+13 1.0000E-09 3.5308E-12  8.1242E-06  565.23 1.0000
1610.0 9.9585E+14 9.8500E+14 1.0849E+13 1.0000E-09 3.3760E-12  7.8016E-06  567.42 1.0000
1620.0 9.5284E+14 9.4287E+14 9.9719E+12 1.0000E-09 3.2289E-12  7.4931E-06  569.59 1.0000
1630.0 9.1192E+14 9.0275E+14 9.1693E+12 1.0000E-09 3.0890E-12  7.1982E-06  571.72 1.0000
1640.0 8.7296E+14 8.6452E+14 8.4346E+12 1.0000E-09 2.9559E-12  6.9161E-06  573.83 1.0000
1650.0 8.3585E+14 8.2809E+14 7.7619E+12 1.0000E-09 2.8292E-12  6.6462E-06  575.92 1.0000
1660.0 8.0051E+14 7.9337E+14 7.1456E+12 1.0000E-09 2.7086E-12  6.3879E-06  577.97 1.0000
1670.0 7.6684E+14 7.6026E+14 6.5807E+12 1.0000E-09 2.5938E-12  6.1407E-06  580.00 1.0000
1680.0 7.3474E+14 7.2868E+14 6.0628E+12 1.0000E-09 2.4845E-12  5.9040E-06  582.01 1.0000
1690.0 7.0414E+14 6.9855E+14 5.5876E+12 1.0000E-09 2.3803E-12  5.6774E-06  583.99 1.0000
1700.0 6.7495E+14 6.6980E+14 5.1516E+12 1.0000E-09 2.2809E-12  5.4603E-06  585.95 1.0000
1710.0 6.4711E+14 6.4236E+14 4.7512E+12 1.0000E-09 2.1862E-12  5.2523E-06  587.88 1.0000
1720.0 6.2055E+14 6.1616E+14 4.3835E+12 1.0000E-09 2.0959E-12  5.0530E-06  589.79 1.0000
1730.0 5.9519E+14 5.9114E+14 4.0456E+12 1.0000E-09 2.0097E-12  4.8620E-06  591.67 1.0000
1740.0 5.7098E+14 5.6724E+14 3.7351E+12 1.0000E-09 1.9275E-12  4.6789E-06  593.53 1.0000
1750.0 5.4786E+14 5.4441E+14 3.4495E+12 1.0000E-09 1.8490E-12  4.5034E-06  595.37 1.0000
1760.0 5.2578E+14 5.2259E+14 3.1868E+12 1.0000E-09 1.7741E-12  4.3350E-06  597.18 1.0000
1770.0 5.0467E+14 5.0173E+14 2.9450E+12 1.0000E-09 1.7025E-12  4.1735E-06  598.97 1.0000
1780.0 4.8451E+14 4.8179E+14 2.7224E+12 1.0000E-09 1.6341E-12  4.0186E-06  600.74 1.0000
1790.0 4.6523E+14 4.6271E+14 2.5175E+12 1.0000E-09 1.5688E-12  3.8699E-06  602.49 1.0000
1800.0 4.4680E+14 4.4447E+14 2.3286E+12 1.0000E-09 1.5064E-12  3.7272E-06  604.21 1.0000
1810.0 4.2917E+14 4.2702E+14 2.1546E+12 1.0000E-09 1.4467E-12  3.5903E-06  605.91 1.0000
1820.0 4.1231E+14 4.1032E+14 1.9942E+12 1.0000E-09 1.3896E-12  3.4588E-06  607.60 1.0000
1830.0 3.9618E+14 3.9433E+14 1.8462E+12 1.0000E-09 1.3350E-12  3.3325E-06  609.26 1.0000
1840.0 3.8074E+14 3.7903E+14 1.7097E+12 1.0000E-09 1.2827E-12  3.2113E-06  610.90 1.0000
1850.0 3.6596E+14 3.6437E+14 1.5838E+12 1.0000E-09 1.2327E-12  3.0948E-06  612.52 1.0000
1860.0 3.5181E+14 3.5034E+14 1.4675E+12 1.0000E-09 1.1849E-12  2.9829E-06  614.12 1.0000
1870.0 3.3825E+14 3.3689E+14 1.3602E+12 1.0000E-09 1.1391E-12  2.8754E-06  615.70 1.0000
1880.0 3.2528E+14 3.2401E+14 1.2610E+12 1.0000E-09 1.0952E-12  2.7721E-06  617.26 1.0000
1890.0 3.1284E+14 3.1167E+14 1.1694E+12 1.0000E-09 1.0532E-12  2.6728E-06  618.80 1.0000
1900.0 3.0093E+14 2.9984E+14 1.0847E+12 1.0000E-09 1.0130E-12  2.5773E-06  620.33 1.0000
1910.0 2.8951E+14 2.8850E+14 1.0064E+12 1.0000E-09 9.7440E-13  2.4855E-06  621.83 1.0000
1920.0 2.7856E+14 2.7763E+14 9.3399E+11 1.0000E-09 9.3745E-13  2.3973E-06  623.32 1.0000
1930.0 2.6807E+14 2.6720E+14 8.6700E+11 1.0000E-09 9.0203E-13  2.3124E-06  624.78 1.0000
1940.0 2.5801E+14 2.5720E+14 8.0502E+11 1.0000E-09 8.6807E-13  2.2307E-06  626.23 1.0000
1950.0 2.4836E+14 2.4761E+14 7.4765E+11 1.0000E-09 8.3551E-13  2.1522E-06  627.66 1.0000
1960.0 2.3910E+14 2.3840E+14 6.9453E+11 1.0000E-09 8.0428E-13  2.0766E-06  629.08 1.0000
1970.0 2.3022E+14 2.2957E+14 6.4534E+11 1.0000E-09 7.7433E-13  2.0039E-06  630.47 1.0000
1980.0 2.2169E+14 2.2109E+14 5.9978E+11 1.0000E-09 7.4559E-13  1.9340E-06  631.85 1.0000
1990.0 2.1351E+14 2.1295E+14 5.5755E+11 1.0000E-09 7.1801E-13  1.8666E-06  633.21 1.0000
2000.0 2.0566E+14 2.0514E+14 5.1842E+11 1.0000E-09 6.9154E-13  1.8018E-06  634.56 1.0000
2010.0 1.9812E+14 1.9764E+14 4.8214E+11 1.0000E-09 6.6613E-13  1.7394E-06  635.89 1.0000
2020.0 1.9088E+14 1.9043E+14 4.4850E+11 1.0000E-09 6.4174E-13  1.6793E-06  637.20 1.0000
2030.0 1.8393E+14 1.8351E+14 4.1729E+11 1.0000E-09 6.1832E-13  1.6214E-06  638.50 1.0000
2040.0 1.7725E+14 1.7686E+14 3.8834E+11 1.0000E-09 5.9582E-13  1.5657E-06  639.78 1.0000
2050.0 1.7083E+14 1.7047E+14 3.6147E+11 1.0000E-09 5.7421E-13  1.5120E-06  641.04 1.0000
2060.0 1.6467E+14 1.6433E+14 3.3653E+11 1.0000E-09 5.5345E-13  1.4603E-06  642.29 1.0000
2070.0 1.5875E+14 1.5843E+14 3.1338E+11 1.0000E-09 5.3351E-13  1.4104E-06  643.53 1.0000
2080.0 1.5305E+14 1.5276E+14 2.9188E+11 1.0000E-09 5.1434E-13  1.3624E-06  644.75 1.0000
2090.0 1.4758E+14 1.4731E+14 2.7191E+11 1.0000E-09 4.9592E-13  1.3162E-06  645.95 1.0000
2100.0 1.4232E+14 1.4206E+14 2.5335E+11 1.0000E-09 4.7821E-13  1.2716E-06  647.14 1.0000
2110.0 1.3726E+14 1.3702E+14 2.3611E+11 1.0000E-09 4.6118E-13  1.2286E-06  648.32 1.0000
2120.0 1.3239E+14 1.3217E+14 2.2008E+11 1.0000E-09 4.4481E-13  1.1872E-06  649.48 1.0000
2130.0 1.2771E+14 1.2751E+14 2.0518E+11 1.0000E-09 4.2906E-13  1.1472E-06  650.63 1.0000
2140.0 1.2321E+14 1.2302E+14 1.9132E+11 1.0000E-09 4.1392E-13  1.1087E-06  651.76 1.0000
2150.0 1.1888E+14 1.1870E+14 1.7843E+11 1.0000E-09 3.9935E-13  1.0716E-06  652.88 1.0000
2160.0 1.1472E+14 1.1455E+14 1.6645E+11 1.0000E-09 3.8533E-13  1.0358E-06  653.98 1.0000
2170.0 1.1071E+14 1.1055E+14 1.5529E+11 1.0000E-09 3.7185E-13  1.0013E-06  655.08 1.0000
2180.0 1.0685E+14 1.0670E+14 1.4491E+11 1.0000E-09 3.5887E-13  9.6794E-07  656.15 1.0000
2190.0 1.0313E+14 1.0300E+14 1.3524E+11 1.0000E-09 3.4638E-13  9.3581E-07  657.22 1.0000
2200.0 9.9556E+13 9.9430E+13 1.2624E+11 1.0000E-09 3.3436E-13  9.0481E-07  658.27 1.0000
2210.0 9.6113E+13 9.5996E+13 1.1787E+11 1.0000E-09 3.2278E-13  8.7490E-07  659.31 1.0000
2220.0 9.2798E+13 9.2688E+13 1.1006E+11 1.0000E-09 3.1163E-13  8.4604E-07  660.34 1.0000
2230.0 8.9606E+13 8.9503E+13 1.0279E+11 1.0000E-09 3.0090E-13  8.1820E-07  661.36 1.0000
2240.0 8.6531E+13 8.6435E+13 9.6017E+10 1.0000E-09 2.9057E-13  7.9132E-07  662.36 1.0000
2250.0 8.3569E+13 8.3480E+13 8.9703E+10 1.0000E-09 2.8061E-13  7.6538E-07  663.35 1.0000
2260.0 8.0716E+13 8.0632E+13 8.3819E+10 1.0000E-09 2.7102E-13  7.4034E-07  664.33 1.0000
2270.0 7.7967E+13 7.7889E+13 7.8333E+10 1.0000E-09 2.6178E-13  7.1617E-07  665.30 1.0000
2280.0 7.5319E+13 7.5245E+13 7.3217E+10 1.0000E-09 2.5288E-13  6.9283E-07  666.26 1.0000
2290.0 7.2766E+13 7.2697E+13 6.8446E+10 1.0000E-09 2.4430E-13  6.7030E-07  667.20 1.0000
2300.0 7.0306E+13 7.0242E+13 6.3996E+10 1.0000E-09 2.3604E-13  6.4854E-07  668.13 1.0000
2310.0 6.7934E+13 6.7875E+13 5.9845E+10 1.0000E-09 2.2807E-13  6.2753E-07  669.05 1.0000
2320.0 6.5649E+13 6.5593E+13 5.5971E+10 1.0000E-09 2.2039E-13  6.0724E-07  669.96 1.0000
2330.0 6.3445E+13 6.3392E+13 5.2356E+10 1.0000E-09 2.1298E-13  5.8764E-07  670.86 1.0000
2340.0 6.1320E+13 6.1271E+13 4.8981E+10 1.0000E-09 2.0585E-13  5.6872E-07  671.75 1.0000
2350.0 5.9271E+13 5.9225E+13 4.5831E+10 1.0000E-09 1.9896E-13  5.5043E-07  672.63 1.0000
2360.0 5.7295E+13 5.7252E+13 4.2889E+10 1.0000E-09 1.9232E-13  5.3277E-07  673.50 1.0000
2370.0 5.5389E+13 5.5349E+13 4.0142E+10 1.0000E-09 1.8592E-13  5.1570E-07  674.36 1.0000
2380.0 5.3551E+13 5.3513E+13 3.7576E+10 1.0000E-09 1.7975E-13  4.9921E-07  675.21 1.0000
2390.0 5.1777E+13 5.1742E+13 3.5179E+10 1.0000E-09 1.7379E-13  4.8328E-07  676.04 1.0000
2400.0 5.0066E+13 5.0033E+13 3.2940E+10 1.0000E-09 1.6805E-13  4.6788E-07  676.87 1.0000
2410.0 4.8416E+13 4.8385E+13 3.0847E+10 1.0000E-09 1.6250E-13  4.5300E-07  677.69 1.0000
2420.0 4.6823E+13 4.6794E+13 2.8891E+10 1.0000E-09 1.5715E-13  4.3862E-07  678.49 1.0000
2430.0 4.5286E+13 4.5259E+13 2.7063E+10 1.0000E-09 1.5199E-13  4.2472E-07  679.29 1.0000
2440.0 4.3802E+13 4.3777E+13 2.5354E+10 1.0000E-09 1.4701E-13  4.1128E-07  680.08 1.0000
2450.0 4.2370E+13 4.2346E+13 2.3756E+10 1.0000E-09 1.4220E-13  3.9829E-07  680.86 1.0000
2460.0 4.0988E+13 4.0966E+13 2.2261E+10 1.0000E-09 1.3756E-13  3.8573E-07  681.63 1.0000
2470.0 3.9653E+13 3.9633E+13 2.0863E+10 1.0000E-09 1.3308E-13  3.7359E-07  682.39 1.0000
2480.0 3.8365E+13 3.8346E+13 1.9556E+10 1.0000E-09 1.2875E-13  3.6185E-07  683.14 1.0000
2490.0 3.7121E+13 3.7103E+13 1.8333E+10 1.0000E-09 1.2458E-13  3.5050E-07  683.89 1.0000
2500.0 3.5920E+13 3.5903E+13 1.7188E+10 1.0000E-09 1.2054E-13  3.3952E-07  684.62 1.0000
2510.0 3.4760E+13 3.4744E+13 1.6117E+10 1.0000E-09 1.1665E-13  3.2891E-07  685.35 1.0000
2520.0 3.3640E+13 3.3625E+13 1.5114E+10 1.0000E-09 1.1289E-13  3.1864E-07  686.06 1.0000
2530.0 3.2558E+13 3.2544E+13 1.4176E+10 1.0000E-09 1.0925E-13  3.0871E-07  686.77 1.0000
2540.0 3.1512E+13 3.1499E+13 1.3297E+10 1.0000E-09 1.0575E-13  2.9910E-07  687.47 1.0000
2550.0 3.0503E+13 3.0490E+13 1.2474E+10 1.0000E-09 1.0236E-13  2.8981E-07  688.16 1.0000
2560.0 2.9527E+13 2.9516E+13 1.1704E+10 1.0000E-09 9.9082E-14  2.8082E-07  688.85 1.0000
2570.0 2.8585E+13 2.8574E+13 1.0982E+10 1.0000E-09 9.5918E-14  2.7212E-07  689.52 1.0000
2580.0 2.7674E+13 2.7664E+13 1.0306E+10 1.0000E-09 9.2861E-14  2.6371E-07  690.19 1.0000
2590.0 2.6794E+13 2.6784E+13 9.6730E+09 1.0000E-09 8.9907E-14  2.5557E-07  690.85 1.0000
2600.0 2.5944E+13 2.5935E+13 9.0797E+09 1.0000E-09 8.7052E-14  2.4769E-07  691.50 1.0000
2610.0 2.5122E+13 2.5113E+13 8.5238E+09 1.0000E-09 8.4293E-14  2.4007E-07  692.15 1.0000
2620.0 2.4327E+13 2.4319E+13 8.0028E+09 1.0000E-09 8.1627E-14  2.3269E-07  692.78 1.0000
2630.0 2.3559E+13 2.3552E+13 7.5144E+09 1.0000E-09 7.9049E-14  2.2555E-07  693.41 1.0000
2640.0 2.2817E+13 2.2810E+13 7.0566E+09 1.0000E-09 7.6558E-14  2.1864E-07  694.03 1.0000
2650.0 2.2099E+13 2.2093E+13 6.6275E+09 1.0000E-09 7.4149E-14  2.1195E-07  694.65 1.0000
2660.0 2.1405E+13 2.1399E+13 6.2250E+09 1.0000E-09 7.1820E-14  2.0547E-07  695.26 1.0000
2670.0 2.0734E+13 2.0729E+13 5.8477E+09 1.0000E-09 6.9568E-14  1.9920E-07  695.86 1.0000
2680.0 2.0086E+13 2.0080E+13 5.4938E+09 1.0000E-09 6.7391E-14  1.9313E-07  696.45 1.0000
2690.0 1.9458E+13 1.9453E+13 5.1618E+09 1.0000E-09 6.5286E-14  1.8726E-07  697.04 1.0000
2700.0 1.8852E+13 1.8847E+13 4.8504E+09 1.0000E-09 6.3250E-14  1.8157E-07  697.62 1.0000
2710.0 1.8265E+13 1.8260E+13 4.5583E+09 1.0000E-09 6.1280E-14  1.7606E-07  698.19 1.0000
2720.0 1.7697E+13 1.7693E+13 4.2842E+09 1.0000E-09 5.9376E-14  1.7073E-07  698.76 1.0000
2730.0 1.7148E+13 1.7144E+13 4.0270E+09 1.0000E-09 5.7533E-14  1.6557E-07  699.32 1.0000
2740.0 1.6617E+13 1.6613E+13 3.7855E+09 1.0000E-09 5.5751E-14  1.6057E-07  699.87 1.0000
2750.0 1.6103E+13 1.6100E+13 3.5590E+09 1.0000E-09 5.4027E-14  1.5572E-07  700.42 1.0000
2760.0 1.5606E+13 1.5603E+13 3.3463E+09 1.0000E-09 5.2359E-14  1.5103E-07  700.96 1.0000
2770.0 1.5125E+13 1.5122E+13 3.1466E+09 1.0000E-09 5.0745E-14  1.4649E-07  701.49 1.0000
2780.0 1.4660E+13 1.4657E+13 2.9591E+09 1.0000E-09 4.9183E-14  1.4209E-07  702.02 1.0000
2790.0 1.4210E+13 1.4207E+13 2.7831E+09 1.0000E-09 4.7672E-14  1.3783E-07  702.54 1.0000
2800.0 1.3774E+13 1.3771E+13 2.6178E+09 1.0000E-09 4.6210E-14  1.3370E-07  703.05 1.0000
2810.0 1.3352E+13 1.3349E+13 2.4625E+09 1.0000E-09 4.4794E-14  1.2970E-07  703.56 1.0000
2820.0 1.2944E+13 1.2941E+13 2.3166E+09 1.0000E-09 4.3425E-14  1.2582E-07  704.07 1.0000
2830.0 1.2549E+13 1.2546E+13 2.1796E+09 1.0000E-09 4.2099E-14  1.2207E-07  704.57 1.0000
2840.0 1.2166E+13 1.2164E+13 2.0509E+09 1.0000E-09 4.0816E-14  1.1843E-07  705.06 1.0000
2850.0 1.1796E+13 1.1794E+13 1.9300E+09 1.0000E-09 3.9573E-14  1.1491E-07  705.55 1.0000
2860.0 1.1438E+13 1.1436E+13 1.8163E+09 1.0000E-09 3.8371E-14  1.1149E-07  706.03 1.0000
2870.0 1.1091E+13 1.1089E+13 1.7095E+09 1.0000E-09 3.7207E-14  1.0818E-07  706.50 1.0000
2880.0 1.0755E+13 1.0753E+13 1.6092E+09 1.0000E-09 3.6079E-14  1.0497E-07  706.97 1.0000
2890.0 1.0429E+13 1.0428E+13 1.5148E+09 1.0000E-09 3.4988E-14  1.0187E-07  707.44 1.0000
2900.0 1.0114E+13 1.0113E+13 1.4261E+09 1.0000E-09 3.3931E-14  9.8853E-08  707.90 1.0000
2910.0 9.8094E+12 9.8080E+12 1.3427E+09 1.0000E-09 3.2908E-14  9.5934E-08  708.35 1.0000
2920.0 9.5140E+12 9.5127E+12 1.2643E+09 1.0000E-09 3.1917E-14  9.3104E-08  708.80 1.0000
2930.0 9.2279E+12 9.2267E+12 1.1906E+09 1.0000E-09 3.0957E-14  9.0361E-08  709.24 1.0000
2940.0 8.9509E+12 8.9498E+12 1.1213E+09 1.0000E-09 3.0028E-14  8.7702E-08  709.68 1.0000
2950.0 8.6825E+12 8.6815E+12 1.0561E+09 1.0000E-09 2.9127E-14  8.5125E-08  710.11 1.0000
2960.0 8.4226E+12 8.4216E+12 9.9475E+08 1.0000E-09 2.8255E-14  8.2627E-08  710.54 1.0000
2970.0 8.1708E+12 8.1699E+12 9.3706E+08 1.0000E-09 2.7410E-14  8.0204E-08  710.96 1.0000
2980.0 7.9269E+12 7.9260E+12 8.8279E+08 1.0000E-09 2.6592E-14  7.7856E-08  711.38 1.0000
2990.0 7.6906E+12 7.6898E+12 8.3174E+08 1.0000E-09 2.5799E-14  7.5579E-08  711.80 1.0000
3000.0 7.4617E+12 7.4609E+12 7.8369E+08 1.0000E-09 2.5031E-14  7.3371E-08  712.21 1.0000
3010.0 7.2399E+12 7.2391E+12 7.3848E+08 1.0000E-09 2.4287E-14  7.1231E-08  712.61 1.0000
3020.0 7.0250E+12 7.0243E+12 6.9594E+08 1.0000E-09 2.3566E-14  6.9155E-08  713.01 1.0000
3030.0 6.8167E+12 6.8161E+12 6.5590E+08 1.0000E-09 2.2867E-14  6.7142E-08  713.41 1.0000
3040.0 6.6149E+12 6.6143E+12 6.1821E+08 1.0000E-09 2.2190E-14  6.5190E-08  713.80 1.0000
3050.0 6.4193E+12 6.4188E+12 5.8273E+08 1.0000E-09 2.1534E-14  6.3297E-08  714.18 1.0000
3060.0 6.2298E+12 6.2293E+12 5.4933E+08 1.0000E-09 2.0898E-14  6.1461E-08  714.57 1.0000
3070.0 6.0462E+12 6.0456E+12 5.1789E+08 1.0000E-09 2.0282E-14  5.9681E-08  714.94 1.0000
3080.0 5.8681E+12 5.8676E+12 4.8828E+08 1.0000E-09 1.9685E-14  5.7954E-08  715.32 1.0000
3090.0 5.6956E+12 5.6951E+12 4.6040E+08 1.0000E-09 1.9106E-14  5.6279E-08  715.69 1.0000
3100.0 5.5283E+12 5.5279E+12 4.3415E+08 1.0000E-09 1.8545E-14  5.4654E-08  716.05 1.0000
3110.0 5.3662E+12 5.3658E+12 4.0942E+08 1.0000E-09 1.8001E-14  5.3078E-08  716.41 1.0000
3120.0 5.2090E+12 5.2086E+12 3.8613E+08 1.0000E-09 1.7474E-14  5.1549E-08  716.77 1.0000
3130.0 5.0567E+12 5.0563E+12 3.6419E+08 1.0000E-09 1.6963E-14  5.0066E-08  717.12 1.0000
3140.0 4.9089E+12 4.9086E+12 3.4353E+08 1.0000E-09 1.6467E-14  4.8627E-08  717.47 1.0000
3150.0 4.7657E+12 4.7654E+12 3.2406E+08 1.0000E-09 1.5987E-14  4.7231E-08  717.81 1.0000
3160.0 4.6268E+12 4.6265E+12 3.0571E+08 1.0000E-09 1.5521E-14  4.5876E-08  718.15 1.0000
3170.0 4.4922E+12 4.4919E+12 2.8843E+08 1.0000E-09 1.5069E-14  4.4562E-08  718.49 1.0000
3180.0 4.3616E+12 4.3614E+12 2.7214E+08 1.0000E-09 1.4631E-14  4.3287E-08  718.82 1.0000
3190.0 4.2350E+12 4.2348E+12 2.5679E+08 1.0000E-09 1.4206E-14  4.2050E-08  719.15 1.0000
3200.0 4.1123E+12 4.1120E+12 2.4232E+08 1.0000E-09 1.3794E-14  4.0849E-08  719.48 1.0000
3210.0 3.9932E+12 3.9929E+12 2.2868E+08 1.0000E-09 1.3395E-14  3.9684E-08  719.80 1.0000
3220.0 3.8777E+12 3.8775E+12 2.1583E+08 1.0000E-09 1.3008E-14  3.8553E-08  720.12 1.0000
3230.0 3.7657E+12 3.7655E+12 2.0371E+08 1.0000E-09 1.2632E-14  3.7456E-08  720.43 1.0000
3240.0 3.6571E+12 3.6569E+12 1.9229E+08 1.0000E-09 1.2267E-14  3.6391E-08  720.75 1.0000
3250.0 3.5517E+12 3.5515E+12 1.8152E+08 1.0000E-09 1.1914E-14  3.5358E-08  721.05 1.0000
3260.0 3.4495E+12 3.4493E+12 1.7137E+08 1.0000E-09 1.1571E-14  3.4355E-08  721.36 1.0000
